id,island,healt_centre,latitude,longitude,health_centre_type,health_assistans,mhd_cd_aide,mayor,date,score
1,JALUIT,IMIEJ,6.013162, 169.720466,Other,GOERGE TATIOS,,,2022-04-01,52.0
2,JALUIT,IMROJ,6.072225, 169.609038,Other,FABRICKA ENOS ♀,,,2022-04-01,19.0
3,JALUIT,JABONWODEN,,,Other,Vacant,,,2022-04-01,27.0
4,EBON,EBON,4.575818, 168.704765,Main,KOJEN KONEILLES ♀,Kojen Konelious (HA),Alminson Naisher,2023-04-01,52.0
5,EBON,TOKA,4.634636, 168.653224,Other,NEIL HERKENOS,,,2023-04-01,59.0
6,JALUIT,JABOR,,,Main,ELMON JOSHUA,,Rostina Morris,2023-04-01,85.0
7,JALUIT,JALUIT,5.792128, 169.601550,Other,MERRYANN ENOS ♀,Marianne Enos (HA),,2023-04-01,85.0
8,JALUIT,MAJIRIROK,,,Other,ELDON TEIKO,,,2023-04-01,63.0
9,JALUIT,IMIEJ,6.013162, 169.720466,Other,GOERGE TATIOS,,,2023-04-01,52.0
10,JALUIT,IMROJ,6.072225, 169.609038,Other,FABRICKA ENOS ♀,,,2023-04-01,19.0
11,JALUIT,NARMEJ,,,Other,Janer Jally,,,2023-04-01,25.0
12,JALUIT,JABONWODEN,,,Other,Vacant,,,2023-04-01,26.0
13,AUR,TOBAL,8.308487, 171.157332,Main,JAMES SAIMON,,Hesa Kaious,2023-04-01,33.0
14,LIKIEP,LIKIEP,9.828636, 169.306222,Main,BRANDY KEMLAN,,Nicholas deBrum,2023-04-01,48.0
15,LIKIEP,JEBAL,9.889824, 169.272873,Other,Vacant,,,2023-04-01,48.0
16,LAE,LAE,8.925637, 166.266254,Main,AKJI LANGBATA,Marki Joseph,Telmong Kabua,2023-07-01,63.0
17,AILINGLAPLAP,WOJA,7.438374, 168.548367,Main,Weston Ejli,Rosie Riklon,Riming Ring,2023-10-01,67.0
18,AILINGLAPLAP,AEROK,,,Other,Minus Mejbon,S-vehicle,,2023-10-01,70.0
19,AILINGLAPLAP,BUOJ,7.291028, 168.748352,Other,Nijab Antolok,Susan Loeak,,2023-10-01,41.0
20,AILINGLAPLAP,JEH,7.488089, 168.939387,Other,MORTON BASO,S,,2023-10-01,78.0
21,JABOT,JABOT,7.750964, 168.976077,Main,JUONRAN JUONRAN,Tapina Harry,Nai Naisher,2023-10-01,74.0
22,LIP,LIP,,,Main,JOE NOKA,,Winlan Sheet,2024-07-01,21.0
23,UJAE,UJAE,8.931507, 165.760619,Main,MERINA RIKETA ♀,MERINA RIKETA (HA),,2024-07-01,30.0
24,LAE,LAE,8.925637, 166.266254,Main,AKJI LANGBATA,Marki Joseph,Telmong Kabua,2024-07-01,26.0
25,WOTHO,WOTHO,10.165831, 166.010366,Main,TOM BRIAND,Bersina Jelke,Kudo Kabua,2024-07-01,21.0
26,EBON,EBON,4.575818, 168.704765,Main,KOJEN KONEILLES ♀,Kojen Konelious (HA),Alminson Naisher,2024-10-01,59.0
27,NAMDRIK,NAMDRIK,5.602402, 168.102161,Main,HARRIS HARRIS,Rachel Lajar,Joel Joel,2024-10-01,19.0
28,JALUIT,JABOR,,,Main,ELMON JOSHUA,,Rostina Morris,2024-10-01,85.0
29,AILINGLAPLAP,AEROK,,,Other,Minus Mejbon,S-vehicle,,2024-10-01,66.0
30,JABOT,JABOT,7.750964, 168.976077,Main,JUONRAN JUONRAN,Tapina Harry,Nai Naisher,2024-10-01,74.0
31,NAMU,MAJKON,,,Main,OKTAN TIMOTHY,Jessica Lakmis,Kemilang Kabua,2024-10-01,80.0
32,MALOELAP,TARWA,,,Main,JALLY ENOS,Soline Hermios,William Saito,2025-04-01,19.0
33,MALOELAP,JANG,8.861178, 171.062762,Other,RAEL LARD,,,2025-04-01,74.0
34,MALOELAP,OLLET,8.768558, 171.175415,Other,JOE LATDRIK,,,2025-04-01,88.0
35,WOTJE,WOTJE,9.461833, 170.238497,Main,JACKIN ROBERT,Flora Hex,Rithen Lajar,2025-04-01,41.0
36,WOTJE,WODMEJ,,,Other,JIBAIBE BOKTOK,,,2025-04-01,66.0
37,AILUK,AILUK/ENEJELAR,,,Main,KORI MARSHALL,Mary Senight,Dancy Alfred,2025-04-01,60.0
38,LIKIEP,LIKIEP,9.828636, 169.306222,Main,BRANDY KEMLAN,,Nicholas deBrum,2025-04-01,80.0
39,MEJIT,MEJIT,,,Main,JOEL LAIDREN,Rosita Lokojaak,Neal Keju,2025-04-01,74.0
40,LIP,LIP,,,Main,JOE NOKA,,Winlan Sheet,2025-07-01,30.0
41,UJAE,UJAE,8.931507, 165.760619,Main,MERINA RIKETA ♀,MERINA RIKETA (HA),,2025-07-01,44.0
42,LAE,LAE,8.925637, 166.266254,Main,AKJI LANGBATA,Marki Joseph,Telmong Kabua,2025-07-01,26.0
43,WOTHO,WOTHO,10.165831, 166.010366,Main,TOM BRIAND,Bersina Jelke,Kudo Kabua,2025-07-01,52.0
44,MILI,ENEJET,6.040792, 171.983844,Other,RUTH ANDREW ♀,,Joel Joel,2025-07-01,30.0
45,MILI,LUKWONWOD,,,Other,YOSEPH DANIEL,,Joel Joel,2025-07-01,44.0
46,ARNO,INNE,,,Main,Jally Enos,,Baji Danny,2025-07-01,48.0
47,ARNO,ARNO,7.062718, 171.552442,Other,SETH BUNGLIK,,,2025-07-01,43.0
48,EBON,EBON,4.575818, 168.704765,Main,KOJEN KONEILLES ♀,Kojen Konelious (HA),Alminson Naisher,2025-10-01,59.0
49,EBON,TOKA,4.634636, 168.653224,Other,NEIL HERKENOS,,,2025-10-01,47.0
50,NAMDRIK,NAMDRIK,5.602402, 168.102161,Main,HARRIS HARRIS,Rachel Lajar,Joel Joel,2025-10-01,20.0
51,JALUIT,JABOR,,,Main,ELMON JOSHUA,,Rostina Morris,2025-10-01,73.0
52,AILINGLAPLAP,WOJA,7.438374, 168.548367,Main,Weston Ejli,Rosie Riklon,Riming Ring,2025-10-01,51.0
53,JABOT,JABOT,7.750964, 168.976077,Main,JUONRAN JUONRAN,Tapina Harry,Nai Naisher,2025-10-01,61.0
54,NAMU,MAJKON,,,Main,OKTAN TIMOTHY,Jessica Lakmis,Kemilang Kabua,2025-10-01,76.0
55,UJAE,UJAE,8.931507, 165.760619,Main,MERINA RIKETA ♀,MERINA RIKETA (HA),,2025-10-01,40.0
56,LAE,LAE,8.925637, 166.266254,Main,AKJI LANGBATA,Marki Joseph,Telmong Kabua,2025-10-01,47.0
57,WOTHO,WOTHO,10.165831, 166.010366,Main,TOM BRIAND,Bersina Jelke,Kudo Kabua,2025-10-01,35.0
58,MILI,ENEJET,6.040792, 171.983844,Other,RUTH ANDREW ♀,,Joel Joel,2025-10-01,35.0
59,ARNO,INNE,,,Main,Jally Enos,,Baji Danny,2025-10-01,67.0
60,AUR,TOBAL,8.308487, 171.157332,Main,JAMES SAIMON,,Hesa Kaious,2025-10-01,18.0
61,MALOELAP,KABEN,,,Other,RODNEY BRIAND,,,2025-10-01,51.0
62,WOTJE,WOTJE,9.461833, 170.238497,Main,JACKIN ROBERT,Flora Hex,Rithen Lajar,2025-10-01,51.0
63,AILUK,AILUK/ENEJELAR,,,Main,KORI MARSHALL,Mary Senight,Dancy Alfred,2025-10-01,44.0
64,LIKIEP,LIKIEP,9.828636, 169.306222,Main,BRANDY KEMLAN,,Nicholas deBrum,2025-10-01,26.0
65,MEJIT,MEJIT,,,Main,JOEL LAIDREN,Rosita Lokojaak,Neal Keju,2025-10-01,60.0
66,EBON,EBON,4.575818, 168.704765,Main,KOJEN KONEILLES ♀,Kojen Konelious (HA),Alminson Naisher,2026-02-01,71.0
67,NAMDRIK,NAMDRIK,5.602402, 168.102161,Main,HARRIS HARRIS,Rachel Lajar,Joel Joel,2026-02-01,31.0
68,JALUIT,JABOR,,,Main,ELMON JOSHUA,,Rostina Morris,2026-02-01,63.0
69,AILINGLAPLAP,WOJA,7.438374, 168.548367,Main,Weston Ejli,Rosie Riklon,Riming Ring,2026-02-01,73.0
70,JABOT,JABOT,7.750964, 168.976077,Main,JUONRAN JUONRAN,Tapina Harry,Nai Naisher,2026-02-01,79.0
71,NAMU,MAJKON,,,Main,OKTAN TIMOTHY,Jessica Lakmis,Kemilang Kabua,2026-02-01,88.0
72,LIP,LIP,,,Main,JOE NOKA,,Winlan Sheet,2026-02-01,58.0
73,UJAE,UJAE,8.931507, 165.760619,Main,MERINA RIKETA ♀,MERINA RIKETA (HA),,2026-02-01,60.0
74,WOTHO,WOTHO,10.165831, 166.010366,Main,TOM BRIAND,Bersina Jelke,Kudo Kabua,2026-02-01,63.0
75,MILI,ENEJET,6.040792, 171.983844,Other,RUTH ANDREW ♀,,Joel Joel,2026-02-01,60.0
76,MILI,LUKWONWOD,,,Other,YOSEPH DANIEL,,Joel Joel,2026-02-01,75.0
77,ARNO,INNE,,,Main,Jally Enos,,Baji Danny,2026-02-01,65.0
